epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.1775,2.00326,4.43982,1.30464,0.00336,0.99346,0.68935,0.20732,1.96621,3.56852,1.1201,0.00018,0.00018,0.00018
2,8.19286,1.54559,2.22712,1.14966,0.00336,0.99346,0.015,0.00611,1.42999,3.64598,1.113,0.000372476,0.000372476,0.000372476
3,10.8942,1.48949,1.8693,1.11772,0.00333,0.98693,0.03002,0.00995,1.36094,3.58587,1.1123,0.000557032,0.000557032,0.000557032
4,14.465,1.50268,1.75459,1.13545,0.00336,0.99346,0.01412,0.00738,1.24833,3.52291,1.11729,0.000733668,0.000733668,0.000733668
5,17.1641,1.49145,1.61384,1.16354,0.00341,0.98693,0.01327,0.00743,1.244,3.4617,1.12317,0.000902384,0.000902384,0.000902384
6,19.853,1.37077,1.52011,1.16729,0.00333,0.98693,0.28294,0.17067,1.26858,3.20877,1.12597,0.00106318,0.00106318,0.00106318
7,22.36,1.39958,1.43869,1.15924,0.97487,0.25358,0.93554,0.54524,1.28709,2.6028,1.09836,0.00121606,0.00121606,0.00121606
8,24.8942,1.44204,1.45793,1.18884,0.97989,0.63694,0.9618,0.5484,1.39143,2.1539,1.14718,0.00136101,0.00136101,0.00136101
9,27.495,1.40149,1.36906,1.15596,0.86415,0.86928,0.92667,0.55597,1.34532,1.86653,1.164,0.00149805,0.00149805,0.00149805
10,30.2551,1.48573,1.41626,1.19027,0.85659,0.93696,0.93036,0.50335,1.48528,1.80864,1.21416,0.00162716,0.00162716,0.00162716
11,32.9261,1.42126,1.40953,1.16131,0.92419,0.95425,0.96958,0.53349,1.36729,1.29223,1.16348,0.001604,0.001604,0.001604
12,35.5672,1.3536,1.20509,1.09341,0.78698,0.9281,0.92142,0.49621,1.39562,1.31748,1.22772,0.0015644,0.0015644,0.0015644
13,38.1972,1.41981,1.22925,1.16672,0.92165,0.92266,0.95936,0.53147,1.50204,1.35504,1.27632,0.0015248,0.0015248,0.0015248
14,40.8538,1.4318,1.15969,1.15229,0.98638,0.94685,0.97864,0.61184,1.31974,0.96818,1.1782,0.0014852,0.0014852,0.0014852
15,43.5771,1.37219,1.1117,1.14859,0.98151,0.98039,0.97729,0.6025,1.33252,1.00629,1.17987,0.0014456,0.0014456,0.0014456
16,47.3183,1.36734,1.10463,1.12686,0.99336,0.9783,0.98415,0.59086,1.34269,0.88865,1.1941,0.001406,0.001406,0.001406
17,50.1132,1.3351,1.02962,1.13954,0.95556,0.98375,0.97159,0.58461,1.32065,0.90933,1.19566,0.0013664,0.0013664,0.0013664
18,53.1202,1.34545,1.00856,1.10851,0.96905,0.96078,0.97282,0.62803,1.28123,0.91282,1.1412,0.0013268,0.0013268,0.0013268
19,55.7348,1.32519,1.00914,1.10522,0.96008,0.97386,0.9633,0.63412,1.25346,0.88624,1.16106,0.0012872,0.0012872,0.0012872
20,58.3337,1.30561,0.96074,1.10631,0.98022,0.97192,0.97689,0.61575,1.23672,0.86405,1.15018,0.0012476,0.0012476,0.0012476
21,60.9193,1.31103,0.93496,1.09863,0.99262,0.97386,0.98434,0.58312,1.32205,0.83322,1.19307,0.001208,0.001208,0.001208
22,63.5313,1.30564,0.92166,1.11367,0.99254,0.98039,0.98283,0.60448,1.28184,0.81426,1.17947,0.0011684,0.0011684,0.0011684
23,66.1025,1.26859,0.87968,1.09119,0.97361,0.98693,0.9825,0.58145,1.32976,0.85328,1.1883,0.0011288,0.0011288,0.0011288
24,68.7351,1.29818,0.89685,1.09833,0.99703,0.97386,0.98868,0.6193,1.2783,0.7799,1.1834,0.0010892,0.0010892,0.0010892
25,71.3184,1.26981,0.85361,1.11795,0.98665,0.9663,0.98388,0.63462,1.26235,0.73281,1.18229,0.0010496,0.0010496,0.0010496
26,73.9274,1.29483,0.8776,1.12024,0.98566,0.96078,0.97191,0.65022,1.21533,0.67715,1.14755,0.00101,0.00101,0.00101
27,76.5305,1.35693,0.91332,1.15266,0.98548,0.96732,0.97264,0.64758,1.21019,0.71673,1.14086,0.0009704,0.0009704,0.0009704
28,80.0287,1.30264,0.84304,1.115,0.98664,0.96511,0.97146,0.62986,1.23692,0.67646,1.1502,0.0009308,0.0009308,0.0009308
29,82.6711,1.25526,0.81736,1.11057,0.97382,0.97251,0.97303,0.63697,1.22541,0.64295,1.15284,0.0008912,0.0008912,0.0008912
30,85.2734,1.23871,0.78244,1.06472,0.99333,0.97269,0.98354,0.63243,1.22945,0.63043,1.16388,0.0008516,0.0008516,0.0008516
31,87.7464,1.34637,0.77958,1.11971,0.98675,0.97327,0.97498,0.6406,1.18672,0.6414,1.13588,0.000812,0.000812,0.000812
32,90.1851,1.28509,0.77395,1.11672,0.99303,0.98039,0.9841,0.64459,1.18111,0.65462,1.13269,0.0007724,0.0007724,0.0007724
33,92.7648,1.18693,0.74189,1.06016,1,0.98667,0.98677,0.62863,1.22522,0.66857,1.15133,0.0007328,0.0007328,0.0007328
34,95.374,1.24165,0.74233,1.08834,0.98586,0.97386,0.9733,0.65599,1.19975,0.63459,1.12914,0.0006932,0.0006932,0.0006932
35,98.1497,1.28501,0.75809,1.07893,0.99271,0.98039,0.98369,0.65165,1.1928,0.62633,1.13315,0.0006536,0.0006536,0.0006536
36,100.784,1.28126,0.79984,1.11892,0.98608,0.97386,0.97867,0.66058,1.17186,0.62783,1.13112,0.000614,0.000614,0.000614
37,103.374,1.26177,0.78057,1.11465,0.98604,0.97386,0.97499,0.65482,1.15894,0.60649,1.12156,0.0005744,0.0005744,0.0005744
38,105.967,1.2072,0.72269,1.08238,0.99295,0.98039,0.98433,0.6481,1.17948,0.60895,1.13517,0.0005348,0.0005348,0.0005348
39,108.563,1.26017,0.72176,1.10382,0.98667,0.97386,0.97663,0.65622,1.1758,0.58998,1.13216,0.0004952,0.0004952,0.0004952
40,112.075,1.22222,0.7157,1.06692,0.98674,0.9725,0.97795,0.65132,1.20133,0.57128,1.14003,0.0004556,0.0004556,0.0004556
41,115.985,1.17431,0.7209,1.105,0.97911,0.97386,0.97695,0.65326,1.18216,0.56081,1.13391,0.000416,0.000416,0.000416
42,118.632,1.18032,0.72154,1.07276,0.97916,0.97386,0.97716,0.65636,1.17469,0.5692,1.12264,0.0003764,0.0003764,0.0003764
43,121.067,1.16711,0.72123,1.06442,0.97955,0.97386,0.97665,0.65253,1.1726,0.56177,1.1188,0.0003368,0.0003368,0.0003368
44,123.555,1.17311,0.74225,1.1117,0.97967,0.97386,0.97453,0.66366,1.16237,0.55525,1.12195,0.0002972,0.0002972,0.0002972
45,126.184,1.14417,0.74809,1.11102,0.97962,0.97386,0.97464,0.6717,1.15823,0.55439,1.12217,0.0002576,0.0002576,0.0002576
46,128.795,1.16296,0.70016,1.12393,0.97884,0.97386,0.97525,0.67567,1.13251,0.53886,1.11349,0.000218,0.000218,0.000218
